,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
324, 10-16-2019,5:00:53 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
325, 10-16-2019,2:08:04 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,3
326, 10-16-2019,12:49:45 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
327, 10-15-2019,8:21:37 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,9
328, 10-15-2019,5:58:31 PM,TORONTO ON,TORONTO ON,A_4,Outgoing,3
329, 10-15-2019,4:21:30 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
330, 10-15-2019,12:55:05 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,87
331, 10-15-2019,12:14:07 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,29
332, 10-15-2019,12:03:52 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
333, 10-15-2019,11:41:22 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,1
334, 10-15-2019,11:11:44 AM,TORONTO ON,TORONTO ON,D_3,Outgoing,9
335, 10-15-2019,11:06:17 AM,TORONTO ON,TORONTO ON,A_4,Outgoing,4
336, 10-15-2019,11:05:05 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
337, 10-15-2019,10:00:53 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
